Fecha,Personas_1_Vacuna,Personas_2_Dosis,Personas_3_Dosis
2022-11-01,97179493,81849962,57014052
2022-11-02,97179493,81849962,57014052
2022-11-03,97179493,81849962,57014052
2022-11-04,97179493,81849962,57014052
2022-11-05,97179493,81849962,57014052
2022-11-06,97179493,81849962,57014052
2022-11-07,97179493,81849962,57014052
2022-11-08,97179493,81849962,57014052
2022-11-09,97179493,81849962,57014052
2022-11-10,97179493,81849962,57014052
2022-11-11,97179493,81849962,57014052
2022-11-12,97179493,81849962,57014052
2022-11-13,97179493,81849962,57014052
2022-11-14,97179493,81849962,57014052
2022-11-15,97179493,81849962,57014052
2022-11-16,97179493,81849962,57014052
2022-11-17,97179493,81849962,57014052
2022-11-18,99019438,81849962,57026630
2022-11-19,99019438,81849962,57026630
2022-11-20,99019438,81849962,57026630
2022-11-21,99019438,81849962,57026630
2022-11-22,99019438,81849962,57026630
2022-11-23,99019438,81849962,57026630
2022-11-24,99019438,81849962,57026630
2022-11-25,99019438,81849962,57026630
2022-11-26,99019438,81849962,57026630
2022-11-27,99019438,81849962,57026630
2022-11-28,99019438,81849962,57026630
2022-11-29,99019438,81849962,57026630
2022-11-30,99019438,81849962,57026630
2022-12-01,99019438,81849962,57026630
2022-12-02,99071001,82652919,57026630
2022-12-03,99071001,82652919,57026630
2022-12-04,99071001,82652919,57026630
2022-12-05,99071001,82652919,57026630
2022-12-06,99071001,82652919,57026630
2022-12-07,99071001,82652919,57026630
2022-12-08,99071001,82652919,57026630
2022-12-09,99071001,82652919,57026630
2022-12-10,99071001,82652919,57026630
2022-12-11,99071001,82652919,57026630
2022-12-12,99071001,82652919,57026630
2022-12-13,99071001,82652919,57026630
2022-12-14,99071001,82652919,57026630
2022-12-15,99071001,82652919,57026630
2022-12-16,99071001,82652919,57026630
2022-12-22,99071001,82652919,57026630
